time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
1185,5.2,4990.268,1000.467,2496.028,4954.036,7409.544,7951.256,8603.756,10173.567,10173.567,0
1190,4.8,4547.245,1018.022,2035.175,4499.366,7533.396,7858.089,7866.12,8360.647,8360.647,0
1195,3.6,6172.868,1091.149,3990.585,5168.108,9439.747,10251.628,13775.636,13775.636,13775.636,0
1200,4.4,5385.571,1000.143,3657.967,5245.707,7785.236,9021.658,9606.826,12975.799,12975.799,0
1205,4.2,5575.632,1004.989,1860.697,6297.457,7883.137,10097.928,11424.938,12318.69,12318.69,0
1210,2.8,5551.605,1559.663,1951.498,6053.761,7182.622,9955.821,11410.117,11410.117,11410.117,0
1215,3.8,5133.17,1543.552,3924.813,5587.409,6571.372,7791.633,8117.61,8117.61,8117.61,0
1220,3.4,5307.981,1035.115,3999.559,4667.937,7934.002,8999.661,11639.666,11639.666,11639.666,0
1225,4.4,5453.733,1002.369,4617.278,5150.54,7685.093,8384.586,8617.426,11868.838,11868.838,0
1230,4,5128.67,1004.855,3556.722,4876.112,7483.727,8844.903,14057.839,14057.839,14057.839,0
1235,4.2,4683.93,1004.782,1859.381,4695.227,7831.352,8383.153,8500.401,8833.405,8833.405,0
1240,3.4,4917.816,1029.75,2379.819,4457.581,7289.484,8225.405,11567.595,11567.595,11567.595,0
1245,4.8,4107.077,1002.05,2847.956,4018.151,6199.601,7201.558,7219.488,7420.057,7420.057,0
1250,3.2,5428.318,1020.937,3890.541,5479.297,8586.276,8661.548,9010.932,9010.932,9010.932,0
1255,4.2,5756.052,1123.319,4326.183,5227.426,7507.569,8259.209,9723.491,11528.336,11528.336,0
1260,3.2,5755.437,1003.697,4215.552,6503.261,9868.751,9986.124,10127.576,10127.576,10127.576,0
1265,3.6,4923.702,1029.115,1592.614,4920.426,8044.207,8426.412,8630.841,8630.841,8630.841,0
